unique_id,cutoff,metric,SeasonalNaive,Naive,AutoETS,AutoARIMA,XGBRegressor,LGBMRegressor,NBEATS,NHITS,TimeGPT
hotel_77,2022-07-23,mae,0.00043936731107205,0.00043936731107205,0.007624841179092164,0.0016130418400538713,,,0.005814610479643478,0.00267149217107205,
hotel_77,2022-08-08,mae,,,,,0.002352433752397693,0.003643464527917986,,,
hotel_77,2022-08-20,mae,0.0011298016570424143,0.0011298016570424143,0.0029728607908607783,0.0014634007264915285,,,0.007924867420613843,0.004121375782756701,
hotel_77,2022-09-05,mae,,,,,0.001297902241325643,0.004480951995228642,,,
hotel_77,2022-09-17,mae,0.0019457695204619428,0.0020713030379111,0.006682934378094722,0.001990557852276877,,,0.0080684370972985,0.004527021786033371,
hotel_77,2022-10-03,mae,,,,,0.0020884107343898963,0.0024601934170787676,,,
hotel_77,2022-10-15,mae,0.0038915390409239034,0.009163946773788567,0.008732550753282196,0.009817588982779972,,,0.004027295500052089,0.0028654227740811038,
hotel_77,2022-10-31,mae,,,,,0.0022990087,0.004426246566618406,,,0.04907266642857143
hotel_77,2022-11-07,mae,,,,,,,,,0.06392048142857143
hotel_77,2022-11-14,mae,,,,,,,,,0.03535899453571429
hotel_77,2022-11-21,mae,,,,,,,,,0.007582945231321429
hotel_77,2022-11-22,mae,0.0,0.0,0.0003619809725247146,0.0005691313748043617,,,0.006818573724642857,0.0030402339403571427,
hotel_77,2022-11-28,mae,,,,,0.0012401113,0.0037924751654665,,,0.007441355958571428
hotel_0,2023-02-10,mae,0.17548500881834217,0.20194003527336865,0.20900664342649602,0.12060658887704093,0.11710571637125222,0.12308931058733728,0.16448457945767198,0.12616948422839508,
hotel_105,2023-02-10,mae,0.10175202156334232,0.19519317160826596,0.08395135597180385,0.09131739081702296,0.08486491329290205,0.10998246777011213,0.08697880304357593,0.08973536842991914,
hotel_112,2023-02-10,mae,0.1064732142857143,0.12120535714285717,0.09992872208012413,0.07969663658876912,0.08142200642857143,0.08646138162902414,0.09620379785714285,0.10053557857142859,
hotel_126,2023-02-10,mae,0.11980648833238479,0.11155378486055782,0.11406415848035412,0.10939295631941118,0.12776057562179852,0.1155487436200846,0.1260945949075128,0.12592641455036993,
hotel_133,2023-02-10,mae,0.16920374707259953,0.1762295081967213,0.16209746457058702,0.1475921063308691,0.1447546118032787,0.1330591665209951,0.1521813155971897,0.151205934882904,
hotel_14,2023-02-10,mae,0.10579514824797843,0.12196765498652291,0.09853422342523692,0.11160448294034818,0.10995994654312669,0.10782089113052419,0.12251379986522913,0.10743565505390837,
hotel_21,2023-02-10,mae,0.0142195767195767,0.013888888888888836,0.01738435541520591,0.051956792242003495,0.025605191931216967,0.02969530668520559,0.018992870661375665,0.019310918478835985,
hotel_28,2023-02-10,mae,0.0,0.0,0.019424620939798114,0.0025847513778323073,0.0029641897,0.0043428955246246,0.007556517214285715,0.003539716997857143,
hotel_35,2023-02-10,mae,0.18150111607142858,0.17494419642857142,0.14263219980786093,0.11432876997000242,0.13487499357142857,0.14781423233317173,0.20935240107142855,0.1998863107142857,
hotel_42,2023-02-10,mae,0.26778484673221514,0.2495662232504338,0.2845055192777247,0.21098682642951802,0.21966586335598612,0.2202349125663036,0.2909504280942742,0.2664703320228456,
hotel_49,2023-02-10,mae,0.15626949469744228,0.1615720524017468,0.1104243532337822,0.11827164453159554,0.121850258323456,0.11883673575614302,0.13900375689488456,0.14354348225202743,
hotel_56,2023-02-10,mae,0.02857142857142855,0.0726190476190476,0.05168780978200347,0.058943458659793745,0.05226862380952381,0.03269019587404242,0.03545527190476191,0.032686155833333334,
hotel_63,2023-02-10,mae,0.22904761904761908,0.1865079365079365,0.18435204800959687,0.19238913818825573,0.16609634730158732,0.16960771933118934,0.1833838,0.17529416928571426,
hotel_7,2023-02-10,mae,0.06927640763145652,0.06136575151233133,0.08314645782011912,0.06999260606914334,0.05634772507445324,0.043728411297502864,0.082394538267799,0.08254430219288043,
hotel_70,2023-02-10,mae,0.08380325814536338,0.05059523809523809,0.0691874759779498,0.04091699943285249,0.04662306901002504,0.045207394813345674,0.09196318617167916,0.07769756540100248,
hotel_84,2023-02-10,mae,0.17684132476520018,0.19834404349975285,0.17997192392411726,0.19991059133433037,0.283409649188087,0.22929901208325276,0.28960031231092437,0.31071209409663864,
hotel_91,2023-02-10,mae,0.15930979133226322,0.2026484751203852,0.13960034148144343,0.1298844563180754,0.14616935945024073,0.14672633741347135,0.13021771091894058,0.12392170335874797,
hotel_98,2023-02-10,mae,0.21860599078341017,0.19729262672811057,0.2549711469081382,0.1851826213659419,0.17934975455069124,0.18408905287266333,0.21947616346198154,0.20701356222350228,
hotel_0,2023-03-10,mae,0.09656084656084658,0.09744268077601416,0.09054138318980264,0.08238071204008636,0.08856864483245153,0.10014177017066338,0.08497619454585541,0.0851693213315697,
hotel_105,2023-03-10,mae,0.10849056603773585,0.10489667565139263,0.12939129752313847,0.11712561502383163,0.1277104694294699,0.11653055337018485,0.11467174151841868,0.1193618319159928,
hotel_112,2023-03-10,mae,0.09977678571428573,0.09174107142857144,0.09918374217916882,0.09830190609028253,0.09730900607142857,0.09469262298342672,0.09191963857142858,0.08819635285714286,
hotel_126,2023-03-10,mae,0.010813887307911238,0.0073989755264655165,0.060393995589153864,0.03335351039133915,0.03958062348747864,0.05744363614225466,0.04945447036425725,0.037857574110700065,
hotel_133,2023-03-10,mae,0.09894613583138175,0.09309133489461363,0.1258633886272593,0.19818349856797274,0.1166109310948478,0.10909314995283001,0.15818700836065575,0.15032140014637002,
hotel_14,2023-03-10,mae,0.07850404312668466,0.16071428571428575,0.08933681100991557,0.07100464663044737,0.10776140706199464,0.11652344534792854,0.10255673574797845,0.10010372617924528,
hotel_21,2023-03-10,mae,0.02595899470899471,0.012731481481481479,0.019142571303312334,0.02594135468141522,0.024655164576719617,0.02098919454929571,0.019607768518518535,0.01535207896825398,
hotel_28,2023-03-10,mae,0.0008928571428571394,0.0008928571428571394,0.010893147169683232,0.001539296754593793,0.0021022545999999963,0.004830282549199443,0.008449374357142854,0.004372588452142854,
hotel_35,2023-03-10,mae,0.12897600446428573,0.16287667410714285,0.14217003437601106,0.180194216852408,0.14542315232142858,0.10134644174961438,0.12481842124999999,0.11513288303571427,
hotel_42,2023-03-10,mae,0.2582417582417582,0.32764603817235394,0.23565047685177154,0.2371153156822598,0.2731762491367843,0.23676702447286388,0.22196359554945055,0.22742794592249854,
hotel_49,2023-03-10,mae,0.0235495945102932,0.03976918278228319,0.08243408875834245,0.022555858192603768,0.05175534766999374,0.04594153726752031,0.017588952738615105,0.012757725636306925,
hotel_56,2023-03-10,mae,0.011309523809523785,0.010119047619047614,0.03655434017354703,0.047209797757732035,0.02243818595238096,0.023678490927381713,0.018547957619047612,0.02041144297619047,
hotel_63,2023-03-10,mae,0.21460317460317463,0.18444444444444444,0.12816140892217248,0.15600583864865922,0.14421723285714289,0.1329547125368667,0.1230922652777778,0.12523839920634922,
hotel_7,2023-03-10,mae,0.16751977664029782,0.2344113541181945,0.16789864948941677,0.14236053967641946,0.23952076553513263,0.23404334114805891,0.15992283567705914,0.16398546810376918,
hotel_70,2023-03-10,mae,0.05372807017543858,0.04871553884711779,0.10460240406899014,0.07274919736213335,0.04390144208020052,0.0542601380440275,0.051876377036340855,0.053598311885964915,
hotel_84,2023-03-10,mae,0.14607019278299554,0.2197231833910034,0.12155423335398301,0.1272202264375442,0.15344073735294117,0.1328340625662982,0.1273942087048937,0.13474926890509145,
hotel_91,2023-03-10,mae,0.20866773675762437,0.17656500802568215,0.1881581232620006,0.177705941815582,0.16134644920947028,0.15650292896398574,0.13829931334670945,0.13833783640449437,
hotel_98,2023-03-10,mae,0.07690092165898618,0.2047811059907834,0.12919094907180598,0.0689330293252719,0.22516713191244242,0.15189310080158827,0.10626609047235025,0.09162665867511523,
hotel_0,2023-04-07,mae,0.3456790123456791,0.3262786596119928,0.27404986168304646,0.3048355422689256,0.28205885629188715,0.2671820307088994,0.2757788848633157,0.2901057737918871,
hotel_105,2023-04-07,mae,0.09299191374663072,0.16846361185983819,0.08183636647499282,0.08488678132349207,0.0961891058602875,0.09127364424970377,0.09162369280997305,0.09555505431491465,
hotel_112,2023-04-07,mae,0.10669642857142858,0.1625,0.10673759966007301,0.07398804684625439,0.08607382214285715,0.07692044372400396,0.0738313532142857,0.075153545,
hotel_126,2023-04-07,mae,0.030876494023904376,0.02831531018782012,0.03699994694247931,0.03918789986711835,0.02752437028173019,0.029525066759475093,0.031491418675298775,0.03234891081246443,
hotel_133,2023-04-07,mae,0.11124121779859486,0.11943793911007025,0.09882104671050247,0.10305207129955066,0.10457332909250586,0.10501664545632185,0.09790073625292739,0.09301566161007026,
hotel_14,2023-04-07,mae,0.0707547169811321,0.09838274932614562,0.07964521606960139,0.07421688171114395,0.08557706830862535,0.0638228425521126,0.07593238438005392,0.07217727,
hotel_21,2023-04-07,mae,0.03736772486772489,0.03736772486772492,0.03238741889822846,0.03032108454967417,0.04453270144179896,0.03845972254890153,0.03339329912698414,0.033126079735449745,
hotel_28,2023-04-07,mae,0.0,0.0,0.008403364032562068,0.00037368706723507497,0.0012290067,0.00392135791097495,0.006658417385714286,0.0034280916096428573,
hotel_35,2023-04-07,mae,0.23221261160714285,0.25634765625,0.22578054360823305,0.3716592636251595,0.09343843375000002,0.0998480560768102,0.11776040875,0.11878682196428571,
hotel_42,2023-04-07,mae,0.2611336032388664,0.3042220936957779,0.27645182461581785,0.24021775591927327,0.19880957452573744,0.1900727327620356,0.2382756253007519,0.22055652134759976,
hotel_49,2023-04-07,mae,0.0988771054273238,0.10199625701809112,0.07283855695333137,0.10755109000064535,0.15535969860106053,0.14127321463539835,0.10101230645820336,0.10282120895820338,
hotel_56,2023-04-07,mae,0.03720238095238097,0.04077380952380961,0.04523414939815846,0.05483930481921807,0.03792057535714285,0.03731660311897569,0.03523056738095239,0.03663041023809526,
hotel_63,2023-04-07,mae,0.14730158730158727,0.20444444444444446,0.110964397952189,0.16869033488209229,0.19507218424603176,0.18486144845665559,0.14526176924603176,0.16180431027777778,
hotel_7,2023-04-07,mae,0.16635644485807352,0.17089343880874827,0.15902745463006052,0.1598167155198012,0.1809914526931131,0.1611370185042082,0.17114995162168453,0.16579169626454165,
hotel_70,2023-04-07,mae,0.11027568922305764,0.07017543859649121,0.08491888724319666,0.06583581785891608,0.08521244439223057,0.09477484492347663,0.07113558456140351,0.074102123339599,
hotel_84,2023-04-07,mae,0.17609985170538803,0.17090954028670294,0.16572494273544877,0.14023686203125188,0.14583650606277807,0.1422964976191751,0.13678348678447852,0.13262626391250618,
hotel_91,2023-04-07,mae,0.20104333868378815,0.2772873194221509,0.25705641630184306,0.20299403368187557,0.1686137180136437,0.17385809371194852,0.18489764581460674,0.20576538298956665,
hotel_98,2023-04-07,mae,0.12759216589861752,0.2566244239631337,0.1764640743559621,0.10237847028928972,0.1498083474308756,0.15964591276931772,0.08979681088709679,0.08785039732718893,
hotel_0,2023-05-05,mae,0.16843033509700178,0.23633156966490296,0.14830514819010301,0.1661165925758447,0.1736000612830688,0.16915019703968115,0.13476318903880075,0.15156011256613758,0.08407722827160495
hotel_105,2023-05-05,mae,0.1680143755615454,0.07951482479784365,0.13554831282413424,0.11535209345608939,0.1090915571136568,0.10769576428384442,0.10005114170709795,0.1060012646473495,0.08242868277852652
hotel_112,2023-05-05,mae,0.1171875,0.19977678571428567,0.1303356633607417,0.10802444001049068,0.09611302964285716,0.08821813710749644,0.09310882607142858,0.08831316535714287,0.05546466250000002
hotel_126,2023-05-05,mae,0.02575412635173596,0.02262379055207737,0.039990604848033136,0.02577524440962781,0.04371946807199773,0.04160103414149917,0.026491133604154816,0.02448780769920319,0.03911786494450771
hotel_133,2023-05-05,mae,0.09367681498829039,0.10421545667447306,0.061340103210079135,0.048608782989603506,0.05512737471311476,0.05457545528470494,0.04948311159250586,0.05087137281615928,0.03793453076697893
hotel_14,2023-05-05,mae,0.19609164420485176,0.2695417789757413,0.1691501660830987,0.15737302065271358,0.23228669471698118,0.21514875933776006,0.21660248209568733,0.20527166245283018,0.09963501468328842
hotel_21,2023-05-05,mae,0.05539021164021163,0.06431878306878304,0.0625782009883624,0.05936827457185333,0.05239341444444444,0.051717636989458304,0.05635056838624338,0.05853086042328041,0.04592738739417988
hotel_28,2023-05-05,mae,0.0,0.0,0.0061631945163389,0.00015217858481604186,0.0014218448,0.00392526445659865,0.006822609185714285,0.003583490014642857,0.047885717499999994
