unique_id,ds,cutoff,y,TimeGPT
hotel_0,2023-05-06,2023-05-05,0.9876543209876543,0.8777746
hotel_0,2023-05-07,2023-05-05,0.6049382716049383,0.60579216
hotel_0,2023-05-08,2023-05-05,0.49382716049382713,0.5514179
hotel_0,2023-05-09,2023-05-05,0.6666666666666666,0.7334562
hotel_0,2023-05-10,2023-05-05,0.6296296296296297,0.62628245
hotel_0,2023-05-11,2023-05-05,0.8271604938271605,0.7529968
hotel_0,2023-05-12,2023-05-05,0.8765432098765432,0.8700433
hotel_0,2023-05-13,2023-05-05,0.9876543209876543,0.9542307
hotel_0,2023-05-14,2023-05-05,0.43209876543209874,0.51783735
hotel_0,2023-05-15,2023-05-05,0.5802469135802469,0.6410612
hotel_0,2023-05-16,2023-05-05,0.7037037037037037,0.7683231
hotel_0,2023-05-17,2023-05-05,0.691358024691358,0.69133544
hotel_0,2023-05-18,2023-05-05,0.7654320987654321,0.7209857
hotel_0,2023-05-19,2023-05-05,0.6666666666666666,0.710034
hotel_0,2023-05-20,2023-05-05,0.8024691358024691,0.8204945
hotel_0,2023-05-21,2023-05-05,0.3333333333333333,0.50087875
hotel_0,2023-05-22,2023-05-05,0.3950617283950617,0.5655861
hotel_0,2023-05-23,2023-05-05,0.6172839506172839,0.63094264
hotel_0,2023-05-24,2023-05-05,0.7654320987654321,0.6988147
hotel_0,2023-05-25,2023-05-05,0.7407407407407407,0.6827024
hotel_0,2023-05-26,2023-05-05,0.8518518518518519,0.79070634
hotel_0,2023-05-27,2023-05-05,0.9753086419753086,0.9165051
hotel_0,2023-05-28,2023-05-05,0.8888888888888888,0.61108595
hotel_0,2023-05-29,2023-05-05,0.2716049382716049,0.49621382
hotel_0,2023-05-30,2023-05-05,0.2962962962962963,0.50155336
hotel_0,2023-05-31,2023-05-05,0.3950617283950617,0.540822
hotel_0,2023-06-01,2023-05-05,0.43209876543209874,0.60058105
hotel_0,2023-06-02,2023-05-05,0.691358024691358,0.75769347
hotel_0,2023-05-13,2023-05-12,0.9876543209876543,0.9509272
hotel_0,2023-05-14,2023-05-12,0.43209876543209874,0.4966232
hotel_0,2023-05-15,2023-05-12,0.5802469135802469,0.6127268
hotel_0,2023-05-16,2023-05-12,0.7037037037037037,0.7386713
hotel_0,2023-05-17,2023-05-12,0.691358024691358,0.6625576
hotel_0,2023-05-18,2023-05-12,0.7654320987654321,0.7158329
hotel_0,2023-05-19,2023-05-12,0.6666666666666666,0.72241795
hotel_0,2023-05-20,2023-05-12,0.8024691358024691,0.801158
hotel_0,2023-05-21,2023-05-12,0.3333333333333333,0.48378527
hotel_0,2023-05-22,2023-05-12,0.3950617283950617,0.5575798
hotel_0,2023-05-23,2023-05-12,0.6172839506172839,0.59240746
hotel_0,2023-05-24,2023-05-12,0.7654320987654321,0.6860017
hotel_0,2023-05-25,2023-05-12,0.7407407407407407,0.68255764
hotel_0,2023-05-26,2023-05-12,0.8518518518518519,0.8019878
hotel_0,2023-05-27,2023-05-12,0.9753086419753086,0.93126327
hotel_0,2023-05-28,2023-05-12,0.8888888888888888,0.6083765
hotel_0,2023-05-29,2023-05-12,0.2716049382716049,0.51346916
hotel_0,2023-05-30,2023-05-12,0.2962962962962963,0.49488798
hotel_0,2023-05-31,2023-05-12,0.3950617283950617,0.5243716
hotel_0,2023-06-01,2023-05-12,0.43209876543209874,0.5870257
hotel_0,2023-06-02,2023-05-12,0.691358024691358,0.7215604
hotel_0,2023-06-03,2023-05-12,0.8641975308641975,0.86144274
hotel_0,2023-06-04,2023-05-12,0.5061728395061729,0.57567894
hotel_0,2023-06-05,2023-05-12,0.7407407407407407,0.7062062
hotel_0,2023-06-06,2023-05-12,0.7530864197530864,0.80339456
hotel_0,2023-06-07,2023-05-12,0.7530864197530864,0.7467647
hotel_0,2023-06-08,2023-05-12,0.6049382716049383,0.7186458
hotel_0,2023-06-09,2023-05-12,0.7901234567901234,0.77735394
hotel_0,2023-05-20,2023-05-19,0.8024691358024691,0.8425469
hotel_0,2023-05-21,2023-05-19,0.3333333333333333,0.51873076
hotel_0,2023-05-22,2023-05-19,0.3950617283950617,0.54805344
hotel_0,2023-05-23,2023-05-19,0.6172839506172839,0.5575545
hotel_0,2023-05-24,2023-05-19,0.7654320987654321,0.66469526
hotel_0,2023-05-25,2023-05-19,0.7407407407407407,0.68129677
