unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_0,2023-04-20,2023-04-07,0.92302656,0.97743005,0.7407407407407407
hotel_0,2023-04-21,2023-04-07,0.9976377,0.9958565,0.7283950617283951
hotel_0,2023-04-22,2023-04-07,0.9795231,0.9666892,0.9629629629629629
hotel_0,2023-04-23,2023-04-07,0.83109075,0.86488956,0.5185185185185185
hotel_0,2023-04-24,2023-04-07,0.8111329,0.8341847,0.5925925925925926
hotel_0,2023-04-25,2023-04-07,0.8975047,0.8936659,0.8148148148148148
hotel_0,2023-04-26,2023-04-07,0.9519021,0.9641475,0.5432098765432098
hotel_0,2023-04-27,2023-04-07,0.93865347,0.9732978,0.7407407407407407
hotel_0,2023-04-28,2023-04-07,0.9716906,0.9873875,0.8765432098765432
hotel_0,2023-04-29,2023-04-07,0.968211,0.96054566,0.7160493827160493
hotel_0,2023-04-30,2023-04-07,0.837858,0.86129886,0.5185185185185185
hotel_0,2023-05-01,2023-04-07,0.82405096,0.8340035,0.691358024691358
hotel_0,2023-05-02,2023-04-07,0.87905806,0.8887741,0.7160493827160493
hotel_0,2023-05-03,2023-04-07,0.9331322,0.9522449,0.7777777777777778
hotel_0,2023-05-04,2023-04-07,0.92138135,0.97026706,0.7160493827160493
hotel_0,2023-05-05,2023-04-07,0.9923152,0.9881987,0.8641975308641975
hotel_0,2023-05-06,2023-05-05,0.7663136,0.7824707,0.9876543209876543
hotel_0,2023-05-07,2023-05-05,0.57246315,0.61741143,0.6049382716049383
hotel_0,2023-05-08,2023-05-05,0.593302,0.6249117,0.49382716049382713
hotel_0,2023-05-09,2023-05-05,0.71391195,0.70724994,0.6666666666666666
hotel_0,2023-05-10,2023-05-05,0.68339634,0.7472423,0.6296296296296297
hotel_0,2023-05-11,2023-05-05,0.72750705,0.79607856,0.8271604938271605
hotel_0,2023-05-12,2023-05-05,0.85397905,0.869492,0.8765432098765432
hotel_0,2023-05-13,2023-05-05,0.7918953,0.75277096,0.9876543209876543
hotel_0,2023-05-14,2023-05-05,0.5310272,0.61125463,0.43209876543209874
hotel_0,2023-05-15,2023-05-05,0.59205806,0.636798,0.5802469135802469
hotel_0,2023-05-16,2023-05-05,0.6788912,0.71005344,0.7037037037037037
hotel_0,2023-05-17,2023-05-05,0.6903612,0.75818324,0.691358024691358
hotel_0,2023-05-18,2023-05-05,0.73698336,0.7998088,0.7654320987654321
hotel_0,2023-05-19,2023-05-05,0.83748955,0.868647,0.6666666666666666
hotel_0,2023-05-20,2023-05-05,0.7538021,0.7505494,0.8024691358024691
hotel_0,2023-05-21,2023-05-05,0.5577375,0.6184428,0.3333333333333333
hotel_0,2023-05-22,2023-05-05,0.5938373,0.638763,0.3950617283950617
hotel_0,2023-05-23,2023-05-05,0.7032829,0.7066149,0.6172839506172839
hotel_0,2023-05-24,2023-05-05,0.72066385,0.75300336,0.7654320987654321
hotel_0,2023-05-25,2023-05-05,0.74172634,0.7930708,0.7407407407407407
hotel_0,2023-05-26,2023-05-05,0.7942523,0.86405873,0.8518518518518519
hotel_0,2023-05-27,2023-05-05,0.74678075,0.7575399,0.9753086419753086
hotel_0,2023-05-28,2023-05-05,0.59580684,0.6437571,0.8888888888888888
hotel_0,2023-05-29,2023-05-05,0.62509644,0.6452244,0.2716049382716049
hotel_0,2023-05-30,2023-05-05,0.67863655,0.71288115,0.2962962962962963
hotel_0,2023-05-31,2023-05-05,0.7016241,0.7607624,0.3950617283950617
hotel_0,2023-06-01,2023-05-05,0.72980076,0.80857587,0.43209876543209874
hotel_0,2023-06-02,2023-05-05,0.8337223,0.86753875,0.691358024691358
hotel_0,2023-06-03,2023-06-02,0.764799,0.7405287,0.8641975308641975
hotel_0,2023-06-04,2023-06-02,0.5162593,0.5622475,0.5061728395061729
hotel_0,2023-06-05,2023-06-02,0.49057108,0.5081068,0.7407407407407407
hotel_0,2023-06-06,2023-06-02,0.5993454,0.5613012,0.7530864197530864
hotel_0,2023-06-07,2023-06-02,0.6028316,0.62511075,0.7530864197530864
hotel_0,2023-06-08,2023-06-02,0.6102268,0.67727005,0.6049382716049383
hotel_0,2023-06-09,2023-06-02,0.74602485,0.7638454,0.7901234567901234
hotel_0,2023-06-10,2023-06-02,0.79230666,0.76133716,0.8518518518518519
hotel_0,2023-06-11,2023-06-02,0.5003119,0.56218296,0.5308641975308642
hotel_0,2023-06-12,2023-06-02,0.48733956,0.5056685,0.7407407407407407
hotel_0,2023-06-13,2023-06-02,0.5729849,0.58185023,0.7901234567901234
hotel_0,2023-06-14,2023-06-02,0.6210038,0.63400793,0.8271604938271605
hotel_0,2023-06-15,2023-06-02,0.6325176,0.6788249,0.7901234567901234
hotel_0,2023-06-16,2023-06-02,0.7697644,0.7665998,0.8395061728395061
hotel_0,2023-06-17,2023-06-02,0.80921453,0.7500055,1.0246913580246915
hotel_0,2023-06-18,2023-06-02,0.55051816,0.5802486,0.6419753086419753
hotel_0,2023-06-19,2023-06-02,0.48818737,0.5149271,0.5308641975308642
hotel_0,2023-06-20,2023-06-02,0.5790839,0.5710706,0.7283950617283951
hotel_0,2023-06-21,2023-06-02,0.6056933,0.6366341,0.7160493827160493
hotel_0,2023-06-22,2023-06-02,0.6224254,0.66642857,0.7654320987654321
hotel_0,2023-06-23,2023-06-02,0.7348366,0.7540827,0.8148148148148148
hotel_0,2023-06-24,2023-06-02,0.77434856,0.7507049,0.9506172839506173
hotel_0,2023-06-25,2023-06-02,0.56255615,0.58107734,0.5061728395061729
hotel_0,2023-06-26,2023-06-02,0.5177011,0.52068317,0.5802469135802469
hotel_0,2023-06-27,2023-06-02,0.57286584,0.5524927,0.691358024691358
hotel_0,2023-06-28,2023-06-02,0.610666,0.6209275,0.654320987654321
hotel_0,2023-06-29,2023-06-02,0.6186948,0.6556533,0.7160493827160493
hotel_0,2023-06-30,2023-06-02,0.7305114,0.7455484,0.8271604938271605
hotel_105,2023-02-11,2023-02-10,0.9040264,0.88227093,0.9685534591194969
hotel_105,2023-02-12,2023-02-10,0.6561027,0.6771207,0.46540880503144655
hotel_105,2023-02-13,2023-02-10,0.6190822,0.61155474,0.44025157232704404
hotel_105,2023-02-14,2023-02-10,0.7144631,0.64893323,0.6163522012578616
hotel_105,2023-02-15,2023-02-10,0.70592403,0.685699,0.6729559748427673
hotel_105,2023-02-16,2023-02-10,0.70826864,0.7534272,0.6792452830188679
hotel_105,2023-02-17,2023-02-10,0.8789841,0.86412704,0.8616352201257862
hotel_105,2023-02-18,2023-02-10,0.90691996,0.834909,0.9811320754716981
hotel_105,2023-02-19,2023-02-10,0.6115818,0.65428984,0.9056603773584906
hotel_105,2023-02-20,2023-02-10,0.62226635,0.60132504,0.7547169811320755
hotel_105,2023-02-21,2023-02-10,0.6835338,0.66055423,0.8427672955974843
hotel_105,2023-02-22,2023-02-10,0.7046251,0.71115583,0.9685534591194969
hotel_105,2023-02-23,2023-02-10,0.7289227,0.77030015,0.8301886792452831
hotel_105,2023-02-24,2023-02-10,0.84519553,0.87350506,0.9245283018867925
hotel_105,2023-02-25,2023-02-10,0.88666016,0.83059484,0.9056603773584906
hotel_105,2023-02-26,2023-02-10,0.64167595,0.6782679,0.5974842767295597
hotel_105,2023-02-27,2023-02-10,0.6238339,0.6238796,0.6666666666666666
hotel_105,2023-02-28,2023-02-10,0.7165008,0.6658704,0.660377358490566
hotel_105,2023-03-01,2023-02-10,0.727315,0.71814644,0.7672955974842768
hotel_105,2023-03-02,2023-02-10,0.7391658,0.7642778,0.8427672955974843
hotel_105,2023-03-03,2023-02-10,0.84653383,0.87983686,0.8679245283018868
hotel_105,2023-03-04,2023-02-10,0.8786819,0.8447614,0.7924528301886793
hotel_105,2023-03-05,2023-02-10,0.6693584,0.68835557,0.5283018867924528
hotel_105,2023-03-06,2023-02-10,0.6641715,0.6429255,0.6540880503144654
hotel_105,2023-03-07,2023-02-10,0.69548404,0.67705333,0.7295597484276729
hotel_105,2023-03-08,2023-02-10,0.7300844,0.7377679,0.7358490566037735
hotel_105,2023-03-09,2023-02-10,0.7191416,0.7835727,0.6729559748427673
hotel_105,2023-03-10,2023-02-10,0.8613387,0.8799927,0.7924528301886793
hotel_105,2023-03-11,2023-03-10,0.8501713,0.82298243,0.9245283018867925
hotel_105,2023-03-12,2023-03-10,0.62338644,0.64588857,0.8930817610062893
hotel_105,2023-03-13,2023-03-10,0.6035849,0.604832,0.9245283018867925
hotel_105,2023-03-14,2023-03-10,0.71670246,0.6641799,0.9559748427672956
hotel_105,2023-03-15,2023-03-10,0.7182334,0.7299184,0.9937106918238994
hotel_105,2023-03-16,2023-03-10,0.7246614,0.7820112,0.9811320754716981
hotel_105,2023-03-17,2023-03-10,0.8572645,0.86127234,0.8301886792452831
hotel_105,2023-03-18,2023-03-10,0.89450014,0.8588834,0.7735849056603774
hotel_105,2023-03-19,2023-03-10,0.6145849,0.65245974,0.6226415094339622
hotel_105,2023-03-20,2023-03-10,0.6102504,0.61639315,0.5786163522012578
hotel_105,2023-03-21,2023-03-10,0.700523,0.6906337,0.660377358490566
hotel_105,2023-03-22,2023-03-10,0.72535753,0.74132395,0.6918238993710691
hotel_105,2023-03-23,2023-03-10,0.74410987,0.7801596,0.7169811320754716
hotel_105,2023-03-24,2023-03-10,0.86221904,0.86821604,0.8176100628930818
hotel_105,2023-03-25,2023-03-10,0.8867893,0.8425945,0.8301886792452831
hotel_105,2023-03-26,2023-03-10,0.63975656,0.67525303,0.559748427672956
hotel_105,2023-03-27,2023-03-10,0.6049186,0.61299497,0.7735849056603774
hotel_105,2023-03-28,2023-03-10,0.7100301,0.676643,0.8679245283018868
hotel_105,2023-03-29,2023-03-10,0.7413631,0.74702156,0.8176100628930818
hotel_105,2023-03-30,2023-03-10,0.74020326,0.77245027,0.6415094339622641
hotel_105,2023-03-31,2023-03-10,0.82971203,0.85043097,0.7987421383647799
hotel_105,2023-04-01,2023-03-10,0.8637488,0.84154946,0.8301886792452831
hotel_105,2023-04-02,2023-03-10,0.65847105,0.67161584,0.5723270440251572
hotel_105,2023-04-03,2023-03-10,0.61874986,0.6164881,0.7735849056603774
hotel_105,2023-04-04,2023-03-10,0.6814308,0.6581801,0.7924528301886793
hotel_105,2023-04-05,2023-03-10,0.7281889,0.7258339,0.8805031446540881
hotel_105,2023-04-06,2023-03-10,0.746294,0.76142305,0.6352201257861635
hotel_105,2023-04-07,2023-03-10,0.84508896,0.842975,0.9685534591194969
hotel_105,2023-04-08,2023-04-07,0.95167613,0.92236334,0.9056603773584906
